index  neuron   ntails   itail   ltail 
        5000      0    1     0    3 
        5000      1    1     0    3 
       10000      0    1     0    3 
       10000      1    1     0    6 
       10000      2    1     0    3 
       15000      0    2     0    7 
       15000      0    2     1    1 
       15000      1    2     0    7 
       15000      1    2     1    1 
       15000      2    1     0    3 
       15000      3    1     0    3 
       20000      0    1     0    3 
       20000      1    1     0    5 
       20000      2    1     0    7 
       20000      3    2     0    7 
       20000      3    2     1    5 
       20000      4    1     0    3 
       25000      0    1     0    7 
       25000      1    1     0    3 
       25000      2    1     0    3 
       25000      3    2     0    7 
       25000      3    2     1    3 
       25000      4    1     0    3 
       25000      5    1     0    3 
       30000      0    1     0    5 
       30000      1    1     0    3 
       30000      2    1     0    3 
       30000      3    1     0    6 
       30000      4    1     0    3 
       30000      5    1     0    3 
       30000      6    1     0    3 
       35000      0    1     0    3 
       35000      1    1     0    6 
       35000      2    1     0    5 
       35000      3    1     0    5 
       35000      4    1     0    3 
       35000      5    1     0    3 
       35000      6    1     0    6 
       35000      7    1     0    3 
       40000      0    1     0    5 
       40000      1    1     0    4 
       40000      2    1     0    3 
       40000      3    1     0    3 
       40000      4    2     0    7 
       40000      4    2     1    1 
       40000      5    1     0    3 
       40000      6    1     0    3 
       40000      7    1     0    5 
       40000      8    1     0    3 
       45000      0    1     0    5 
       45000      1    1     0    3 
       45000      2    1     0    3 
       45000      3    1     0    3 
       45000      4    1     0    5 
       45000      5    1     0    3 
       45000      6    1     0    3 
       45000      7    1     0    5 
       45000      8    2     0    7 
       45000      8    2     1    1 
       45000      9    1     0    3 
       50000      0    1     0    5 
       50000      1    1     0    4 
       50000      2    1     0    3 
       50000      3    2     0    7 
       50000      3    2     1    2 
       50000      4    1     0    3 
       50000      5    1     0    3 
       50000      6    1     0    3 
       50000      7    1     0    3 
       50000      8    1     0    7 
       50000      9    2     0    7 
       50000      9    2     1    1 
       50000     10    1     0    3 
       55000      0    1     0    3 
       55000      1    1     0    4 
       55000      2    1     0    7 
       55000      3    2     0    7 
       55000      3    2     1    4 
       55000      4    1     0    3 
       55000      5    1     0    3 
       55000      6    1     0    6 
       55000      7    1     0    3 
       55000      8    1     0    7 
       55000      9    2     0    7 
       55000      9    2     1    1 
       55000     10    2     0    7 
       55000     10    2     1    2 
       55000     11    1     0    3 
       60000      0    1     0    3 
       60000      1    2     0    7 
       60000      1    2     1    1 
       60000      2    2     0    7 
       60000      2    2     1    1 
       60000      3    1     0    7 
       60000      4    1     0    7 
       60000      5    1     0    3 
       60000      6    1     0    6 
       60000      7    2     0    7 
       60000      7    2     1    1 
       60000      8    1     0    3 
       60000      9    2     0    7 
       60000      9    2     1    1 
       60000     10    1     0    7 
       60000     11    1     0    3 
       60000     12    1     0    3 
       65000      0    1     0    3 
       65000      1    1     0    7 
       65000      2    1     0    5 
       65000      3    1     0    3 
       65000      4    1     0    7 
       65000      5    1     0    6 
       65000      6    1     0    3 
       65000      7    1     0    5 
       65000      8    1     0    3 
       65000      9    1     0    7 
       65000     10    1     0    7 
       65000     11    1     0    3 
       65000     12    2     0    7 
       65000     12    2     1    1 
       65000     13    1     0    3 
       70000      0    1     0    5 
       70000      1    1     0    5 
       70000      2    1     0    5 
       70000      3    1     0    3 
       70000      4    1     0    5 
       70000      5    1     0    4 
       70000      6    2     0    7 
       70000      6    2     1    1 
       70000      7    1     0    5 
       70000      8    1     0    5 
       70000      9    1     0    5 
       70000     10    1     0    3 
       70000     11    1     0    3 
       70000     12    1     0    7 
       70000     13    1     0    3 
       70000     14    1     0    3 
       75000      0    1     0    5 
       75000      1    1     0    5 
       75000      2    1     0    3 
       75000      3    1     0    3 
       75000      4    1     0    5 
       75000      5    1     0    4 
       75000      6    2     0    7 
       75000      6    2     1    3 
       75000      7    1     0    3 
       75000      8    1     0    5 
       75000      9    1     0    3 
       75000     10    1     0    5 
       75000     11    1     0    7 
       75000     12    1     0    7 
       75000     13    1     0    5 
       75000     14    1     0    7 
       75000     15    1     0    3 
       80000      0    1     0    3 
       80000      1    1     0    3 
       80000      2    2     0    7 
       80000      2    2     1    1 
       80000      3    1     0    3 
       80000      4    1     0    3 
       80000      5    1     0    3 
       80000      6    1     0    7 
       80000      7    1     0    5 
       80000      8    1     0    3 
       80000      9    1     0    3 
